PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=1243 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=220 ms
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=2274 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=19.5 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=16.1 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=35.1 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=32.1 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=17.4 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=16.3 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=16.0 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=31.9 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=17.5 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=16.6 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=16.1 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=16.2 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=45.9 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=18.6 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=17.2 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=18.5 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=16.9 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=16.3 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=18.3 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=17.7 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=15.9 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=16.4 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=16.3 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=16.2 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=16.6 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=19.0 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=16.6 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=16.6 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=16.6 ms
64 bytes from 10.0.0.7: icmp_seq=61 ttl=64 time=16.6 ms
64 bytes from 10.0.0.7: icmp_seq=62 ttl=64 time=17.5 ms
64 bytes from 10.0.0.7: icmp_seq=63 ttl=64 time=17.8 ms
64 bytes from 10.0.0.7: icmp_seq=64 ttl=64 time=17.4 ms
64 bytes from 10.0.0.7: icmp_seq=65 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=66 ttl=64 time=16.3 ms
64 bytes from 10.0.0.7: icmp_seq=67 ttl=64 time=17.3 ms
64 bytes from 10.0.0.7: icmp_seq=68 ttl=64 time=17.6 ms
64 bytes from 10.0.0.7: icmp_seq=69 ttl=64 time=16.2 ms
64 bytes from 10.0.0.7: icmp_seq=70 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=72 ttl=64 time=16.4 ms
64 bytes from 10.0.0.7: icmp_seq=74 ttl=64 time=16.6 ms
64 bytes from 10.0.0.7: icmp_seq=75 ttl=64 time=17.1 ms
64 bytes from 10.0.0.7: icmp_seq=76 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=77 ttl=64 time=16.1 ms
64 bytes from 10.0.0.7: icmp_seq=78 ttl=64 time=16.4 ms
64 bytes from 10.0.0.7: icmp_seq=79 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=80 ttl=64 time=16.6 ms

--- 10.0.0.7 ping statistics ---
80 packets transmitted, 65 received, 18% packet loss, time 79354ms
rtt min/avg/max/mdev = 15.925/74.856/2274.840/314.461 ms, pipe 3
